plant,animal
Ajuga,Schistocerca
Allium,Agrotis
Allium,Schistocerca
Asparagus,Agrotis
Atriplex,Nysius
Calendula,Aphis
Chenopodium,Agrotis
Chenopodium,Aphis
Chenopodium,Atheta
Chenopodium,Brachynema
Chenopodium,Liorhyssus
Chenopodium,Nezara
Chenopodium,Nysius
Chenopodium,Spoladea
Echium,Dialectica
Erodium,Coniocleonus
Erodium,Liorhyssus
Erodium,Messor
Euphorbia,Acroclita
Euphorbia,Aphanarthrum
Euphorbia,Aphthona
Euphorbia,Coccinella
Euphorbia,Hyles
Euphorbia,Lasioderma
Euphorbia,Schistocerca
Heliotropium,Schistocerca
Limonium,Messor
Lotus,Coccinella
Lotus,Colias
Lotus,Schistocerca
Medicago,Agrotis
Medicago,Coccinella
Medicago,Colias
Medicago,Nysius
Medicago,Schistocerca
Medicago,Temnorhinu
Nicotiana,Agrotis
Nicotiana,Lasioderma
Plantago,Amara
Plantago,Vanessa
Rumex,Agrotis
Sonchus,Liorhyssus
Sonchus,Trupanea
Chenopodium,Anaspis
Chenopodium,Aulacoderus
Chenopodium,Noctuidae
Chenopodium,Phlaeothripidae
Echium,Aeolothripidae
Echium,Aphididae
Echium,Pastocoris
Echium,Psyllidae
Euphorbia,Amaurorhinus
Euphorbia,Anaspis
Euphorbia,Anthicidae
Euphorbia,Aphididae
Euphorbia,Arthrodeis
Euphorbia,Attalus
Euphorbia,Aulacoderus
Euphorbia,Brachypterona
Euphorbia,Corticaria
Euphorbia,Cyphopterum
Euphorbia,Issidae
Euphorbia,Macrocoma
Euphorbia,Moreiba
Euphorbia,Psocoptera
Euphorbia,Ptinidae
Euphorbia,Thysanoptera
Kickxia,Aeolothrips
Kickxia,Psocoptera
Launaea,Amaurorhinus
Launaea,Bourletiellidae
Launaea,Collembola
Launaea,Dasytes
Launaea,Flatidae
Launaea,Geometridae
Launaea,Pastocoris
Launaea,Psocoptera
Lycium,Amaurorhinus
Lycium,Aphididae
Lycium,Psocoptera
Lycium,Theba
Mesembryantemun,Afrogethes
Mesembryantemun,Bourletiellidae
Mesembryantemun,Messor
Ononis,Kalama
Ononis,Melasmana
Ononis,Psocoptera
Ononis,Ptinidae
Ononis,Tetramorium
Patellifolia,Amaurorhinus
Patellifolia,Anaspis
Patellifolia,Aphididae
Patellifolia,Aulacoderus
Patellifolia,Bourletiellidae
Patellifolia,Brachypterona
Patellifolia,Formicidae
Patellifolia,Theba
Plantago,Camponotus
Plantago,Messor
Polycarpea,Amaurorhinus
Polycarpea,Psocoptera
Polycarpea,Ptinidae
Salsola,Amaurorhinus
Salsola,Cyphopterum
Salsola,Dericorys
Salsola,Dictyonota
Salsola,Gelechiidae
Salsola,Miridae
Salsola,Psocoptera
Salsola,Purpuraria
Salsola,Tetramorium
Salsola,Thysanoptera
Sonchus,Aeolothripidae
Sonchus,Aeolothrips
Sonchus,Anaspis
Sonchus,Aphididae
Sonchus,Attagenus
Sonchus,Attalus
Sonchus,Aulacoderus
Sonchus,Dasytes
Sonchus,Dasytidae
Sonchus,Malachiidae
Sonchus,Scraptiidae
Sonchus,Tenebrionidae
Sonchus,Thripidae
Suaeda,Anaspis
Suaeda,Arminda
Suaeda,Cyphopterum
Suaeda,Flatidae
Suaeda,Pastocoris
Suaeda,Psocoptera
